"scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"C_FDBK","Global","gcam_biomass",2030,1588.69983333384
"C_FDBK","Global","gcam_biomass",2035,2289.39587093503
"C_FDBK","Global","gcam_biomass",2040,2717.98967958753
"C_FDBK","Global","gcam_biomass",2045,3271.88143452241
"C_FDBK","Global","gcam_biomass",2050,3674.80462710306
"C_FDBK","Global","gcam_biomass",2055,3746.4408213058
"C_FDBK","Global","gcam_biomass",2060,3712.08136964906
"C_FDBK","Global","gcam_biomass",2065,3660.81166755996
"C_FDBK","Global","gcam_biomass",2070,3641.36932152584
"C_FDBK","Global","gcam_biomass",2075,3648.49739853494
"C_FDBK","Global","gcam_biomass",2080,3704.30538688003
"C_FDBK","Global","gcam_biomass",2085,3811.86104707103
"C_FDBK","Global","gcam_biomass",2090,3908.55830757706
"C_FDBK","Global","gcam_biomass",2095,3977.86590892501
"C_FDBK","Global","gcam_biomass",2100,4051.20543380575
