"year","region","agglt","glb_agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2060,"Globe","Shrubland",11458.2821227744,13850.4982861557,11728.7626842444,1.20877616188438,1.02360568177427,1.20447803486603,1.21675824853799,1.01996286762417,1.03037078156887
2065,"Globe","Crop",15706.5543686421,17205.4851703482,15922.7874808679,1.09543345832099,1.01376706228181,0.982284609693834,1.24221923566273,0.933329357629543,1.07127073882892
2065,"Globe","Forest",31266.7351540441,32936.9612012343,31355.7414948373,1.0534186265039,1.00284667843811,1.03781229220446,1.06642069487992,0.99703818114644,1.00544092973405
2065,"Globe","Grassland",19153.791539541,20425.5107986703,18827.8906027942,1.06639517071615,0.982985043140205,1.03997946545707,1.09957769657513,0.979697331398113,0.987114956721116
2065,"Globe","Pasture",30068.1163574214,32875.77658421,29534.422019167,1.09337665829857,0.982250489790902,1.05011755919005,1.15340535497869,0.974912308065081,0.995930151967325
2065,"Globe","Shrubland",11465.6792785108,13822.5804980313,11477.5446327122,1.20556141178115,1.00103485837282,1.20549342966301,1.20568742948976,0.999796152416665,1.0033310340512
2070,"Globe","Crop",15957.760970839,17336.3026947533,16106.2159241242,1.08638691395575,1.00930299391979,0.93751313945381,1.22536347485535,0.921744864589762,1.07496033941687
2070,"Globe","Forest",31213.489991431,33573.8319741071,31608.6548527536,1.07561929099643,1.01266006657477,1.06414251667171,1.09328574387958,0.998689577187794,1.01904697412339
2070,"Globe","Grassland",19149.632604033,20178.9241734881,18654.6831369532,1.05374993822275,0.974153578958192,1.01828278741757,1.09828521238023,0.967117387627996,0.982988760324638
2070,"Globe","Pasture",29970.2417770627,30940.1405581307,28407.8507046033,1.03236206061608,0.947868586310334,0.980685715062265,1.06851487243141,0.9372415518119,0.950568320110146
2070,"Globe","Shrubland",11428.496534166,13832.3298070835,11405.733686385,1.21033678977205,0.998008237766627,1.1667214081624,1.23364800649294,0.98325750826781,1.00589209523727
2075,"Globe","Crop",15680.0085219134,17088.4187449217,15821.9738015853,1.08982203173168,1.00905390322164,0.920933028431821,1.34830456769131,0.937418005985421,1.10285507686718
2075,"Globe","Forest",31599.30141075,33552.2274798687,31666.8794123845,1.06180282417428,1.00213859163391,1.04361480043517,1.09794627735823,0.996547301136958,1.00732314255887
2075,"Globe","Grassland",19155.956343094,20736.5454618038,18853.1514495651,1.08251162669201,0.984192650677131,1.03235106879835,1.14553443341735,0.973088980079219,0.998143541883677
2075,"Globe","Pasture",29902.5647836099,32660.559459439,29186.7607169212,1.09223271300597,0.976062118020022,1.03546538282672,1.15417547136414,0.969432371827626,0.98828844648593
2075,"Globe","Shrubland",11438.941538332,14076.4309438261,11512.149959687,1.23057110630874,1.00639992967092,1.18923081474668,1.25272432675978,0.993262556084202,1.01343991710732
2080,"Globe","Crop",15857.8053932952,17299.6046623904,15865.4015566397,1.09092047943184,1.00047901731394,0.965314418893623,1.23022971455818,0.906715317066412,1.08173006205458
2080,"Globe","Forest",31677.4037158458,33668.7101835585,31618.5670913954,1.06286204783622,0.998142631101394,1.04515624103164,1.10203292074882,0.9914265439837,1.00522914494973
2080,"Globe","Grassland",19154.672665199,20520.0416562032,18585.7396541615,1.07128124896046,0.970297951785353,1.03576086293488,1.11590445707542,0.965276579683204,0.976606152720316
2080,"Globe","Pasture",29711.9474983634,31876.9177413519,28235.9506926633,1.07286530925338,0.950323121505872,1.02831429089118,1.14489638780772,0.940391748131462,0.966556810217917
2080,"Globe","Shrubland",11422.8076304014,13399.5635348788,11037.4326945296,1.17305341807703,0.966262678288818,1.13248238055517,1.19470652746666,0.954719515647736,0.972423362822334
2085,"Globe","Crop",16085.17482981,17246.9006723009,15905.8007290099,1.07222338922534,0.988848482985237,0.975067033204533,1.22843767422246,0.931034495551261,1.05093276968684
2085,"Globe","Forest",31781.3010244237,34849.249390374,32144.2974879419,1.09653312693501,1.01142169929542,1.07387609058189,1.12785462583155,1.00714470795897,1.01529479799339
2085,"Globe","Grassland",18988.033965444,20804.5228936428,18644.4465782885,1.09566492937102,0.981905057270238,1.05712982905138,1.14331903849298,0.977256861002615,0.987653210261154
2085,"Globe","Pasture",29625.408742288,32419.6695921887,28678.181677906,1.09431973999779,0.968026531798364,1.02317059470084,1.13082388324536,0.94839322716191,0.970755362250327
2085,"Globe","Shrubland",11345.803912027,14068.3145316663,11404.4737079184,1.23995748919593,1.00517105674894,1.21121091860812,1.25500256660792,1.00443153994117,1.00658404862218
2090,"Globe","Crop",15991.5591779779,17447.9005579722,16053.6889451303,1.09106938002642,1.00388516006857,0.962368859685097,1.27339792838753,0.912100097993968,1.11932377210608
2090,"Globe","Forest",31899.3215935725,34698.0155841029,32006.5175054343,1.08773521977014,1.00336044487803,1.06364761690476,1.13375793012941,0.999166434665175,1.00902076194869
2090,"Globe","Grassland",18989.665877429,20821.7520100803,18584.6337538288,1.09647806046071,0.97867091889797,1.06364556864248,1.13708639780557,0.977450776997824,0.979657423186816
2090,"Globe","Pasture",29526.8849784571,32050.0484014316,28528.8997028883,1.08545308537678,0.966200793741132,1.0288892375895,1.11505209368666,0.951991398271183,0.969093616521767
2090,"Globe","Shrubland",11398.3878939766,14271.9129594904,11423.9912537222,1.25209925230148,1.00224622639479,1.22293335662457,1.26756971177349,1.00095390984472,1.00468258387656
2095,"Globe","Crop",16598.4981772433,17342.8356128038,16235.1001151837,1.04484366161397,0.978106569752329,0.867033424904352,1.24830881401593,0.878369832731062,1.06305953122501
2095,"Globe","Forest",32024.7558285344,34689.9624898335,32001.2627123597,1.08322332496676,0.999266407641,1.04907411876056,1.13654166376645,0.982499382561722,1.01241035431499
2095,"Globe","Grassland",18857.562649417,20408.278318503,18182.7043395294,1.08223309119612,0.96421285600722,1.03020165615357,1.14577768459157,0.955466792250541,0.974894188643432
2095,"Globe","Pasture",29070.7477592747,31406.5713957389,27603.6432495979,1.08034962347052,0.949533306751328,1.03108938508259,1.12566465970203,0.939532886971184,0.957197072859196
2095,"Globe","Shrubland",11365.5360698336,15150.7014527802,11638.097640474,1.33303887820947,1.02398140914478,1.30352545796178,1.34856349364097,1.02347376898236,1.02494646992288
2100,"Globe","Crop",16285.6737960549,17418.68759295,16132.2746670013,1.06957119558477,0.990580731815299,0.899391412683311,1.26017949938058,0.899115902415059,1.07502541181686
2100,"Globe","Forest",32034.0393784705,34570.515619772,31978.3183572832,1.07918065565613,0.998260568374501,1.06171364585748,1.11592015330224,0.986056848879245,1.00870615062592
2100,"Globe","Grassland",18940.914613285,19865.640054486,18036.3223268432,1.04882158333328,0.952241361892458,1.01661734658189,1.08846794016831,0.947082621760326,0.956431741584728
2100,"Globe","Pasture",29226.8655098793,30618.6149146412,27357.2022924928,1.0476188390538,0.936029294117959,0.983627427783205,1.11354151146332,0.917722087187368,0.945617029276062
2100,"Globe","Shrubland",11348.9865639097,13102.0797582008,10601.1334249152,1.15447134283038,0.934103971770242,1.14200197711967,1.16100275663491,0.924855623921206,0.951760337604778
