region,scenario,GCAM_basin_ID,gcam_glu_abbr,year,LT_GCAM,lt_gcam_area_ha,AvailableUnmanaged_area_ha,AvailableUnmanaged_percent _of_AllUnmanaged,GCAM_region_ID,unit_id
Brazil,Reference,161,SAmerCstNE,2015,AllUnmanaged,7468537.14514612,4191412,56.1209232617132,7,7161
Brazil,Reference,168,AmazonR,2015,AllUnmanaged,326619784.9,241222792,73.8543110834068,7,7168
Brazil,Reference,172,BrzCstN,2015,AllUnmanaged,20385378,14898910,73.0862581993819,7,7172
Brazil,Reference,174,TocantinsR,2015,AllUnmanaged,60704200,53095460,87.4658755077902,7,7174
Brazil,Reference,186,BrzCstE,2015,AllUnmanaged,21114894.8,19881709,94.1596403312414,7,7186
Brazil,Reference,187,ParnaibaR,2015,AllUnmanaged,28994569.6,25753270,88.821011504168,7,7187
Brazil,Reference,192,SaoFrancR,2015,AllUnmanaged,43593209.1,38075830,87.3434894702441,7,7192
Brazil,Reference,195,BrzCstS,2015,AllUnmanaged,46276323,42823770,92.5392667866027,7,7195
Brazil,Reference,206,RioLaPlata,2015,AllUnmanaged,57466475.99,54602649.1,95.0165259994395,7,7206
Canada,Reference,2,NWTerr,2015,AllUnmanaged,88185039.82,6229047.1,7.06360978314972,8,8002
Canada,Reference,7,PacArctic,2015,AllUnmanaged,43986460.76,6013005.08,13.67,8,8007
Canada,Reference,10,Mackenzie,2015,AllUnmanaged,126805600.71,25487295.3,20.0995028273937,8,8010
Canada,Reference,15,HudsonBay,2015,AllUnmanaged,123788688.03,21471725.2,17.3454663279058,8,8015
Canada,Reference,19,CanAtl,2015,AllUnmanaged,42272282.8,21313729.7,50.4,8,8019
Canada,Reference,23,NelsonR,2015,AllUnmanaged,50211974,36769790,73.2291265824363,8,8023
Canada,Reference,27,FraserR,2015,AllUnmanaged,18745338.142,11788192.15,62.885993630533,8,8027
Canada,Reference,34,ChurchillR,2015,AllUnmanaged,8015414.61080471,13953.8069,0.174087150541039,8,8034
Canada,Reference,40,StLwrncR,2015,AllUnmanaged,20919911.57,8431414.14,40.30,8,8040
Canada,Reference,223,MissouriR,2015,AllUnmanaged,1896124.31457752,1491231.1,78.6462727435814,8,8223
Canada,Reference,227,GreatLakes,2015,AllUnmanaged,35121625.21,25977639.79,73.96,8,8227
Canada,Reference,229,UsaPacNW,2015,AllUnmanaged,8716788.308,2978978.6,34.1751857994072,8,8229
Canada,Reference,232,UsaCstNE,2015,AllUnmanaged,3436385.93,3086348.7,89.8137974857789,8,8232
Central America and Caribbean,Reference,101,Caribbean,2015,AllUnmanaged,7509594.854,6075690.98,80.9057092709039,9,9101
Central America and Caribbean,Reference,111,YucatanP,2015,AllUnmanaged,3136002.079,2095629.2,66.8248664129792,9,9111
Central America and Caribbean,Reference,133,GrijUsuR,2015,AllUnmanaged,2388685.47065552,1807656.2,75.6757732320417,9,9133
Central America and Caribbean,Reference,135,CntAmer,2015,AllUnmanaged,17964324.7,15046871,83.7597363178367,9,9135
Central America and Caribbean,Reference,143,SAmerCstN,2015,AllUnmanaged,461732.6,299029.61,64.7625075639017,9,9143
Central America and Caribbean,Reference,157,ColEcuaCst,2015,AllUnmanaged,1447931.16,1073134.1,74.1149945277785,9,9157
Central Asia,Reference,18,VolgaR,2015,AllUnmanaged,887610.684454798,150599.851,16.9668812732357,10,10018
Central Asia,Reference,38,UralR,2015,AllUnmanaged,8221981.18025398,5109126.38,62.1398452269648,10,10038
Central Asia,Reference,42,Gobi,2015,AllUnmanaged,92770664.37,19842457.7,21.3887200601062,10,10042
Central Asia,Reference,43,AmurR,2015,AllUnmanaged,17989211.77,10922873.2,60.7190205977546,10,10043
Central Asia,Reference,45,CaspianNE,2015,AllUnmanaged,31228494.245,3051136.3,9.77035996696676,10,10045
Central Asia,Reference,47,BlackSeaN,2015,AllUnmanaged,79315.71,25179.57,31.75,10,10047
Central Asia,Reference,48,YeniseiR,2015,AllUnmanaged,30396387.4,13767309.4,45.3,10,10048
Central Asia,Reference,52,CaspianE,2015,AllUnmanaged,51211460.2,9504638,18.5595918626042,10,10052
Central Asia,Reference,56,ObR,2015,AllUnmanaged,54525952.74,43958132.8,80.6187339992181,10,10056
Central Asia,Reference,58,AmuDaryaR,2015,AllUnmanaged,46014018.0610154,13418357.27,29.1614552161192,10,10058
Central Asia,Reference,68,LBalkash,2015,AllUnmanaged,31837266.58,15040367.9,47.2413919775647,10,10068
Central Asia,Reference,70,BlackSeaS,2015,AllUnmanaged,2466263.42,1274382,51.6725824851264,10,10070
Central Asia,Reference,72,CaspianSW,2015,AllUnmanaged,10251205.7,8336229,81.3194978616028,10,10072
Central Asia,Reference,76,SyrDaryaR,2015,AllUnmanaged,96615220.3432,31585651.9,32.6922112145481,10,10076
Central Asia,Reference,85,Tarim,2015,AllUnmanaged,893170.706247543,67893.25,7.60137446572093,10,10085
